id,latitude,longitude,postcode,description
1516674,51.556644000000000,-2.561208000000000,BS32 4EZ,
1516676,51.556431240746800,-2.548973368468390,BS32 4FH,
1516677,51.556017653564100,-2.550886778300120,BS32 4FJ,
1516678,51.557090010207700,-2.548232000000000,BS32 4FL,
1516679,51.556088000000000,-2.551436000000000,BS32 4FN,
1516680,51.556771000000000,-2.551675000000000,BS32 4FR,
1516681,51.557005000000000,-2.547639000000000,BS32 4FT,
1516682,51.556292510586200,-2.547875467411310,BS32 4FW,
1516683,51.555749412075200,-2.548995000000000,BS32 4FX,
1516684,51.544497000000000,-2.568716784295830,BS32 4GQ,
1516685,51.555066000000000,-2.566035000000000,BS32 4HA,
1516686,51.555554051183200,-2.565175212643270,BS32 4HB,
1516687,51.554906000000000,-2.567374000000000,BS32 4HD,
1516688,51.555916348308800,-2.562756478017730,BS32 4HE,
1516689,51.554897000000000,-2.563667000000000,BS32 4HF,
1516690,51.554286910555500,-2.563169064540670,BS32 4HG,
1516691,51.558589563148500,-2.562183643514060,BS32 4HH,
1516692,51.559251000000000,-2.563285753985010,BS32 4HJ,
1516693,51.558103694571200,-2.564124979605700,BS32 4HL,
1516694,51.559545021382500,-2.561690550558190,BS32 4HN,
1516695,51.561245000000000,-2.556244000000000,BS32 4HP,
1516696,51.557555000000000,-2.562674495979160,BS32 4HQ,
1516697,51.563381005839700,-2.554842048646960,BS32 4HS,
1516698,51.563343452859300,-2.551364849736860,BS32 4HT,
1516699,51.562156320631000,-2.549503965990510,BS32 4HU,
1516700,51.561335576604300,-2.557659003334950,BS32 4HW,
1516701,51.562197691381700,-2.550269040195990,BS32 4HX,
1516702,51.565234772713600,-2.552614023518100,BS32 4HY,
1516704,51.568142939922600,-2.553688101451860,BS32 4JB,
1516705,51.566689741998500,-2.552963500072220,BS32 4JD,
1516706,51.568833000000000,-2.538951000000000,BS32 4JE,
1516707,51.544376980594300,-2.565310653452800,BS32 4JF,
1516708,51.539484723977700,-2.567355151660840,BS32 4JG,
1516709,51.558631335248100,-2.553399440032660,BS32 4JH,
1516710,51.558269107532400,-2.548202147141330,BS32 4JJ,
1516711,51.557793462690200,-2.548008906731500,BS32 4JL,
1516712,51.557662556509500,-2.533496275900970,BS32 4JP,
1516713,51.546793461732600,-2.565773246430550,BS32 4JQ,
1516714,51.556232127131500,-2.525704968803420,BS32 4JR,
1516715,51.546081377551900,-2.552944268313710,BS32 4JS,
1516716,51.548887308627000,-2.552819659856450,BS32 4JT,
1516717,51.544442992874700,-2.562917000000000,BS32 4JU,
1516718,51.558470000000000,-2.542156070342290,BS32 4JW,
1516719,51.546895897533600,-2.557525639059780,BS32 4JX,
1516720,51.543910934215400,-2.563127429449830,BS32 4JY,
1516721,51.544489845945900,-2.541388690377010,BS32 4JZ,
1516722,51.546271000000000,-2.560518000000000,BS32 4LA,
1516723,51.545005000000000,-2.565852000000000,BS32 4LB,
1516724,51.572522935737000,-2.566626635269720,BS32 4LE,
1516746,51.573994093684700,-2.565476130564370,BS32 4LF,
1516747,51.576084659938100,-2.566396767101930,BS32 4LG,
1516748,51.577247674585400,-2.574997511957730,BS32 4LH,
1516749,51.575366914032000,-2.567931865472510,BS32 4LJ,
1516750,51.574117852578000,-2.571480435957010,BS32 4LL,
1516751,51.573821907863500,-2.573164991094780,BS32 4LN,
1516752,51.571305945653100,-2.587374609633510,BS32 4LP,
1516753,51.576639288018200,-2.568842424042020,BS32 4LQ,
1516754,51.569623645760500,-2.591133140130650,BS32 4LR,
1516755,51.568439000000000,-2.583658000000000,BS32 4LS,
1516756,51.565281479383200,-2.580184462164490,BS32 4LT,
1516757,51.566990000000000,-2.563831000000000,BS32 4LU,
1516758,51.569134000000000,-2.583263000000000,BS32 4LW,
1516759,51.563357222161400,-2.559847692302650,BS32 4LX,
1516760,51.565367126275500,-2.560723578196110,BS32 4LY,
1516761,51.546508521537000,-2.553699000000000,BS32 4ND,
1516762,51.546897719887200,-2.553343538474970,BS32 4NE,
1516763,51.547356871702400,-2.553219319615910,BS32 4NF,
1516764,51.547677688292600,-2.553699000000000,BS32 4NH,
1516765,51.575844829800000,-2.565787713016390,BS32 4NJ,
1516766,51.576645020613600,-2.565797653213670,BS32 4NN,
1516767,51.577375579711600,-2.565330513642540,BS32 4NP,
1516768,51.548147124708200,-2.553430809652950,BS32 4NQ,Hive
1516769,51.576892294910400,-2.564862735367660,BS32 4NR,
1516770,51.576058000000000,-2.564766000000000,BS32 4NS,
1516771,51.575287156671400,-2.563847000000000,BS32 4NT,
1516772,51.563700392820400,-2.553850514139660,BS32 4NU,
1516773,51.577298919936100,-2.566310852350570,BS32 4NW,
1516774,51.577094324190200,-2.560651000000000,BS32 4NX,
1516775,51.577138674205000,-2.562239405984570,BS32 4NY,
1516776,51.579299730643400,-2.554025773836740,BS32 4NZ,
1516777,51.581071915752800,-2.563283769531550,BS32 4PA,
1516778,51.577262450247200,-2.564549850152160,BS32 4PB,
1516779,51.582917173152600,-2.564735414672880,BS32 4PD,
1516780,51.583548003783200,-2.568163792801710,BS32 4PE,
1516781,51.587040140106100,-2.563718451052050,BS32 4PF,
1516782,51.586966201153300,-2.564136115791290,BS32 4PG,
1516783,51.584096135687600,-2.556985142197170,BS32 4PH,
1516784,51.585597450744100,-2.554968000000000,BS32 4PJ,
1516785,51.584799684673300,-2.550801944945450,BS32 4PL,
1516786,51.584910800867700,-2.552030106222360,BS32 4PN,
1516787,51.583861103529200,-2.551541097330050,BS32 4PP,
1516788,51.591603022024900,-2.560960076637480,BS32 4PQ,
1516789,51.583801112666400,-2.552824889086500,BS32 4PR,
1516791,51.583311026330100,-2.555691033812500,BS32 4PT,
1516792,51.584369449092000,-2.554332818452000,BS32 4PU,
1516794,51.548310888294900,-2.560600313363690,BS32 4PY,
1516795,51.544930000000000,-2.564640000000000,BS32 4QA,
1516796,51.546970502328400,-2.558853296008700,BS32 4QB,
